,Q,Score Type,Time Remaining,Play,AUS,YKW
1,1,TD,5:39,Eddie Jeeta 7 yd pass from Easton Cole. (Alfredo Crisco kick),7,0
2,1,TD,5:07,Dermot Lavelle Jr. 83 yd punt return. (Alfredo Crisco kick),14,0
4,2,FG,11:15,21 yd FG by Alfredo Crisco,17,0
5,2,FG,3:59,41 yd FG by Alfredo Crisco,20,0
6,2,FG,0:05,17 yd FG by Dougie Smalls,20,3
8,3,TD,13:37,Mako Mendonca 1 yd run. (Alfredo Crisco kick),27,3
9,3,FG,9:05,25 yd FG by Dougie Smalls,27,6
10,3,TD,2:17,Dermot Lavelle Jr. 96 yd interception return. (Alfredo Crisco kick),34,6
12,4,TD,13:14,Mathias Hanyadi 2 yd pass from Colby Jack (R). (Dougie Smalls kick),34,13
13,4,TD,4:07,Susan Cash Jr. (R) 3 yd pass from Colby Jack (R). (Dougie Smalls kick),34,20
