,Q,Score Type,Time Remaining,Play,YKW,BAL
1,1,FG,10:51,34 yd FG by Turk Turkleton,0,3
2,1,FG,1:41,25 yd FG by Archibald Booter,3,3
4,2,TD,13:32,Carmel Gibson 14 yd pass from Scrub Kyubee. (Turk Turkleton kick),3,10
5,2,FG,10:14,39 yd FG by Turk Turkleton,3,13
6,2,TD,6:25,Jonathan Shaloiko 25 yd pass from Scrub Kyubee. (Turk Turkleton kick),3,20
7,2,TD,1:52,Bubba Nuck 1 yd run. (Archibald Booter XP no good),9,20
9,3,FG,10:23,26 yd FG by Archibald Booter,12,20
10,3,TD,5:21,Matthew Vincent 1 yd pass from Scrub Kyubee. (Turk Turkleton kick),12,27
11,3,TD,2:29,Antoine Delacour 24 yd interception return. (Turk Turkleton kick),12,34
13,4,TD,7:56,Ricky Maddox 7 yd pass from Chris Orosz. (Archibald Booter kick),19,34
14,4,FG,0:31,38 yd FG by Turk Turkleton,19,37
