,Q,Score Type,Time Remaining,Play,OCO,YKW
1,1,TD,10:13,Jeffrey Phillips 6 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),7,0
2,1,FG,3:33,44 yd FG by Alex Dasistwirklichseinnachname,10,0
3,1,TD,0:00,Future Trunks 26 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),17,0
5,2,TD,8:17,Willie B. Hardagain 4 yd pass from Cooter Bigsby. (Dougie Smalls kick),17,7
6,2,FG,0:56,28 yd FG by Alex Dasistwirklichseinnachname,20,7
8,3,TD,9:43,Mathias Hanyadi 5 yd run. (Dougie Smalls XP no good),20,13
9,3,TD,5:19,Jeffrey Phillips 14 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),27,13
10,3,TD,2:45,Action Jackson 14 yd pass from Cooter Bigsby. (Dougie Smalls kick),27,20
12,4,FG,13:12,44 yd FG by Alex Dasistwirklichseinnachname,30,20
13,4,TD,5:33,Bender B. Rodriguez 3 yd pass from Cooter Bigsby. (Dougie Smalls kick),30,27
14,4,FG,0:15,20 yd FG by Dougie Smalls,30,30
16,5,FG,11:51,39 yd FG by Alex Dasistwirklichseinnachname,33,30
