,Q,Score Type,Time Remaining,Play,NO,COL
1,1,TD,10:34,Charlie Law 10 yd pass from Borkus Maximus III. (Peg Leg kick),7,0
2,1,TD,5:28,Andre Bly Jr. 23 yd interception return. (Micycle McCormick kick),7,7
3,1,TD,0:00,Dwayne Aaron 33 yd pass from Ryan Applehort. (Micycle McCormick kick),7,14
5,2,TD,6:11,Dwayne Aaron 27 yd pass from Ryan Applehort. (Micycle McCormick kick),7,21
6,2,TD,2:54,Mayran Jackson 11 yd pass from Borkus Maximus III. (Peg Leg kick),14,21
7,2,FG,0:27,43 yd FG by Micycle McCormick,14,24
9,3,TD,8:35,Howard Miller 23 yd pass from Ryan Applehort. (Micycle McCormick kick),14,31
10,3,TD,0:45,Charlie Law 26 yd pass from Borkus Maximus III. (Peg Leg kick),21,31
12,4,FG,9:36,37 yd FG by Peg Leg,24,31
13,4,TD,2:33,Alexandre LeClair 10 yd pass from Borkus Maximus III. (Peg Leg kick),31,31
15,5,FG,11:48,38 yd FG by Peg Leg,34,31
