,Q,Score Type,Time Remaining,Play,AUS,AZ
1,1,TD,10:06,Slim Shady 10 yd run. (Cameron Clutch (R) XP no good),0,6
2,1,TD,6:39,Django Anoa'i 19 yd pass from Easton Cole. (Alfredo Crisco kick),7,6
3,1,FG,1:27,28 yd FG by Cameron Clutch (R),7,9
5,2,TD,6:33,Kazimir Oles 12 yd pass from Andrew Reese. (Cameron Clutch (R) kick),7,16
7,3,FG,10:39,26 yd FG by Cameron Clutch (R),7,19
8,3,FG,8:21,47 yd FG by Alfredo Crisco,10,19
9,3,TD,1:29,Kazimir Oles 24 yd pass from Andrew Reese. (Cameron Clutch (R) kick),10,26
11,4,TD,14:17,Rod Tidwell 23 yd pass from Easton Cole. (2pt conversion failed),16,26
12,4,TD,11:51,Kazimir Oles 65 yd pass from Andrew Reese. (Cameron Clutch (R) kick),16,33
13,4,FG,9:40,24 yd FG by Alfredo Crisco,19,33
14,4,TD,3:44,Mako Mendonca 4 yd run. (Alfredo Crisco kick),26,33
