Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Rash, T.",AZ,1,15,9,0
"Arbage, G.",AZ,1,5,4,0
"Maulolo, C.",AZ,1,5,0,0
"Morris, R.",AZ,1,5,0,0
"Unk, J.",AZ,0,0,10,0
"Aste, W.",AZ,0,0,6,0
"Irving, J.",AZ,0,0,5,0
"Shady, S.",AZ,0,0,2,2
"Ebris, D.",AZ,0,0,2,0
"Ennis, B.",AUS,1,5,0,0
"A'Ton, L.",AUS,0,0,5,0
"Larson, P.",AUS,0,0,5,0
"A'Little, L.",AUS,0,0,4,1
"Beaver-Dantes, E.",AUS,0,0,4,0
"A'Moderateamount, L.",AUS,0,0,3,0
"Mendonca, M.",AUS,0,0,3,0
"Owens, A.",AUS,0,0,2,1
"A'Barelyanything, L.",AUS,0,0,1,0
