,Q,Score Type,Time Remaining,Play,BAL,COL
1,1,FG,0:26,27 yd FG by Micycle McCormick,0,3
3,2,TD,14:45,Boss Tweed 3 yd run. (Micycle McCormick kick),0,10
4,2,TD,11:12,Alexandre LeClair 47 yd pass from Avon Blocksdale. (Turk Turkleton XP no good),6,10
5,2,FG,7:40,44 yd FG by Micycle McCormick,6,13
6,2,FG,0:03,51 yd FG by Micycle McCormick,6,16
8,3,TD,12:23,Trey Willie 5 yd pass from Avon Blocksdale. (Turk Turkleton kick),13,16
9,3,FG,4:53,30 yd FG by Turk Turkleton,16,16
10,3,TD,0:31,Antoine Delacour 30 yd interception return. (Turk Turkleton kick),23,16
12,4,TD,8:34,Sebastian Joyce 7 yd run. (Micycle McCormick kick),23,23
13,4,TD,5:57,Trey Willie 37 yd pass from Avon Blocksdale. (Turk Turkleton kick),30,23
