Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Crush, C.",OCO,6,107,17.8,52,0,10,12
"Adams, R.",OCO,5,76,15.2,34,0,10,12
"Atwell, T.",OCO,5,60,12,21,1,10,12
"Sunnycursed, N.",OCO,5,37,7.4,11,0,10,12
"Zephyrous, S.",OCO,4,20,5,9,0,10,12
"Helanen, T.",OCO,1,6,6,6,0,10,12
"Taylor, O.",BAL,6,17,2.8,5,0,10,12
"Valentine, V.",BAL,5,110,22,43,0,10,12
"L'Alto, V.",BAL,4,54,13.5,28,0,10,12
"Nagasawa, Y.",BAL,3,59,19.7,30,1,10,12
"Harp, D.",BAL,3,16,5.3,9,0,10,12
"Maddox, E.",BAL,1,8,8,8,0,10,12
"Summer, A.",BAL,1,0,0,0,0,10,12
