,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,FG,10:56,31 yd FG by Alex Dasistwirklichseinnachname,0,3
2,1,FG,1:26,42 yd FG by Dean Jackson,3,3
4,2,TD,13:47,Apollo Reed 3 yd run. (Alex Dasistwirklichseinnachname kick),3,10
5,2,FG,5:31,24 yd FG by Dean Jackson,6,10
6,2,TD,2:42,Apollo Reed 2 yd run. (Alex Dasistwirklichseinnachname kick),6,17
8,3,TD,11:25,None Sunnycursed 5 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),6,24
9,3,TD,6:45,Django Anoa'i 18 yd pass from Gus T.T. Showbiz. (Alex Dasistwirklichseinnachname kick),6,31
10,3,TD,2:35,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),6,38
12,4,TD,12:49,Emilia Rudd 13 yd pass from Andrew Reese. (Dean Jackson kick),13,38
13,4,FG,6:24,49 yd FG by Alex Dasistwirklichseinnachname,13,41
14,4,FG,0:08,25 yd FG by Alex Dasistwirklichseinnachname,13,44
