,Q,Score Type,Time Remaining,Play,NO,BAL
1,1,TD,3:59,Vladimir Fyodorovich 12 yd pass from Borkus Maximus III. (Beat Meoff kick),7,0
2,1,TD,1:00,Tyler Swift 34 yd pass from Borkus Maximus III. (Beat Meoff kick),14,0
4,2,FG,13:23,33 yd FG by Beat Meoff,17,0
5,2,FG,9:22,44 yd FG by Beat Meoff,20,0
6,2,FG,6:01,37 yd FG by Alex Frost,20,3
7,2,TD,4:04,Paul DiMirio 11 yd pass from Borkus Maximus III. (Beat Meoff kick),27,3
9,3,TD,11:24,Errol Maddox 12 yd pass from Childish Gambino. (Alex Frost XP no good),27,9
10,3,FG,8:42,39 yd FG by Beat Meoff,30,9
11,3,TD,3:01,Antonio Summer 4 yd run. (Alex Frost kick),30,16
13,4,TD,12:04,Tyler Swift 11 yd pass from Borkus Maximus III. (Beat Meoff kick),37,16
