Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"O'Leary, S.",CHI,7,74,10.6,31,0,11,24
"Rodriguez, B.",CHI,5,90,18,31,0,11,24
"Gelbman, T.",CHI,5,34,6.8,9,0,11,24
"Tirtawidjaja, J.",CHI,4,38,9.5,17,0,11,24
"Hayes, V.",CHI,3,15,5,11,0,11,24
"Yoda, B.",CHI,1,9,9,9,0,11,24
"Scabbia, L.",CHI,1,8,8,8,0,11,24
"Oberwald, G.",CHI,1,6,6,6,0,11,24
"Gaines, N.",AUS,4,79,19.8,31,1,11,24
"Videl-San, N.",AUS,2,44,22,41,0,11,24
"Jeeta, E.",AUS,2,37,18.5,20,0,11,24
"Tidwell, R.",AUS,2,32,16,19,0,11,24
"Mendonca, M.",AUS,2,30,15,23,0,11,24
"Larson, P.",AUS,2,9,4.5,8,0,11,24
"Jones, K.",AUS,1,10,10,10,0,11,24
