Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Canton, J.",YKW,1,5,2,1
"Amper, T.",YKW,1,10,2,0
"Pooky, S.",YKW,1,5,2,0
"Maulolo, C.",YKW,1,5,0,0
"Mushing, M.",YKW,0,0,6,0
"Ones, B.",YKW,0,0,2,0
"Rchonsucks, A.",YKW,0,0,1,0
"Hank, F.",PHI,1,11,3,0
"Cox III, J.",PHI,1,5,0,0
"Garnett, L.",PHI,1,10,0,0
"Thomas, S.",PHI,1,5,0,0
"Tyler, J.",PHI,0,0,9,0
"Arthur, C.",PHI,0,0,5,0
"Van Buren, M.",PHI,0,0,3,0
"Fillmore, M.",PHI,0,0,2,0
"Boija, F.",PHI,0,0,1,0
"Brannigan, Z.",PHI,0,0,1,0
"Jones, V.",PHI,0,0,0,1
