,Q,Score Type,Time Remaining,Play,YKW,PHI
1,1,TD,1:11,Carter Bush 7 yd pass from Tyler Oles. (Stephen Harris kick),0,7
3,2,TD,13:02,Cesar Milan 9 yd pass from Mat Akselsen. (None Forfeit kick),7,7
4,2,TD,9:36,Paul DiMirio 7 yd pass from Tyler Oles. (Stephen Harris kick),7,14
5,2,TD,2:19,Mat Akselsen 1 yd run. (None Forfeit kick),14,14
6,2,FG,0:11,20 yd FG by None Forfeit,17,14
8,3,FG,8:31,28 yd FG by None Forfeit,20,14
9,3,TD,7:32,Damien Kroetch 2 yd run. (Stephen Harris kick),20,21
10,3,TD,0:45,Mat Akselsen 39 yd run. (None Forfeit kick),27,21
12,4,TD,11:52,Carter Bush 11 yd run. (Stephen Harris XP no good),27,27
13,4,TD,5:39,Robby Rainey 3 yd run. (None Forfeit kick),34,27
