,Q,Score Type,Time Remaining,Play,COL,PHI
1,1,TD,8:49,Damien Kroetch 4 yd run. (Stephen Harris XP no good),0,6
2,1,FG,1:05,30 yd FG by Stephen Harris,0,9
4,2,TD,7:15,Fox North 3 yd pass from Tyler Oles. (Stephen Harris kick),0,16
5,2,FG,5:44,23 yd FG by Micycle McCormick,3,16
6,2,FG,1:50,38 yd FG by Stephen Harris,3,19
7,2,FG,0:12,40 yd FG by Micycle McCormick,6,19
9,3,FG,11:05,23 yd FG by Stephen Harris,6,22
10,3,TD,9:23,Kendrick Hendrix 3 yd pass from Tyler Oles. (Stephen Harris kick),6,29
11,3,TD,1:18,Paul DiMirio 5 yd pass from Tyler Oles. (Stephen Harris kick),6,36
13,4,TD,13:23,Blessed Storm 3 yd pass from Tyler Oles. (Stephen Harris kick),6,43
14,4,FG,5:52,44 yd FG by Stephen Harris,6,46
15,4,TD,1:53,Sebastian Joyce 5 yd run. (Micycle McCormick kick),13,46
