,Q,Score Type,Time Remaining,Play,BAL,NO
1,1,FG,10:19,22 yd FG by ForThe Brand,3,0
2,1,TD,1:02,Marcella Toriki 3 yd run. (Herbert Prohaska (R) kick),3,7
4,2,TD,13:12,Ludicolo Bigby 2 yd run. (ForThe Brand XP no good),9,7
5,2,TD,9:37,Austin McCormick 3 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),9,14
6,2,FG,1:40,35 yd FG by Herbert Prohaska (R),9,17
8,3,TD,10:54,Forrest Gump 12 yd run. (Herbert Prohaska (R) kick),9,24
9,3,FG,8:08,32 yd FG by ForThe Brand,12,24
11,4,FG,12:43,30 yd FG by Herbert Prohaska (R),12,27
12,4,FG,7:31,48 yd FG by ForThe Brand,15,27
13,4,TD,2:08,Forrest Gump 3 yd run. (Herbert Prohaska (R) kick),15,34
