,Q,Score Type,Time Remaining,Play,COL,AZ
1,1,TD,7:49,Howard Miller 24 yd pass from Micycle McCormick. (Kyle Corbett kick),7,0
2,1,TD,3:33,James Bishop 32 yd pass from Micycle McCormick. (Kyle Corbett kick),14,0
4,2,TD,14:34,Sam Hardwick 5 yd pass from Andrew Reese. (Dean Jackson kick),14,7
5,2,TD,5:05,Sam Hardwick 4 yd pass from Andrew Reese. (Dean Jackson kick),14,14
6,2,TD,0:48,James Bishop 8 yd pass from Micycle McCormick. (Kyle Corbett kick),21,14
8,3,TD,8:44,Balthazar Crindy 8 yd pass from Micycle McCormick. (Kyle Corbett kick),28,14
9,3,TD,2:56,Devo Cansino 2 yd pass from Micycle McCormick. (Kyle Corbett kick),35,14
10,3,FG,0:26,35 yd FG by Kyle Corbett,38,14
12,4,FG,12:15,29 yd FG by Kyle Corbett,41,14
13,4,FG,7:56,36 yd FG by Kyle Corbett,44,14
14,4,FG,0:51,21 yd FG by Kyle Corbett,47,14
