,Q,Score Type,Time Remaining,Play,COL,PHI
1,1,FG,6:04,20 yd FG by Kyle Corbett,3,0
2,1,TD,0:00,Marquise Brown 4 yd run. (Kulture Fulture kick),3,7
4,2,FG,9:43,32 yd FG by Kulture Fulture,3,10
5,2,FG,6:34,52 yd FG by Kulture Fulture,3,13
6,2,TD,1:26,Verso L'Alto 8 yd pass from Micycle McCormick. (Kyle Corbett kick),10,13
7,2,FG,0:01,53 yd FG by Kulture Fulture,10,16
9,3,TD,10:28,Verso L'Alto 19 yd pass from Micycle McCormick. (Kyle Corbett kick),17,16
10,3,TD,8:42,Johnson Cox III 26 yd interception return. (Kulture Fulture kick),17,23
11,3,TD,4:00,Mark Grau 5 yd run. (Kyle Corbett XP no good),23,23
13,4,FG,10:22,52 yd FG by Kulture Fulture,23,26
14,4,TD,4:13,Verso L'Alto 4 yd pass from Micycle McCormick. (Kyle Corbett kick),30,26
