Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Tirtawidjaja, J.",CHI,7,26,3.7,9,0,2,25
"Rodriguez, B.",CHI,6,84,14,21,0,2,25
"Gelbman, T.",CHI,4,19,4.8,8,0,2,25
"Yoda, B.",CHI,3,35,11.7,28,0,2,25
"Scabbia, L.",CHI,3,25,8.3,11,0,2,25
"Oberwald, G.",CHI,2,46,23,32,1,2,25
"O'Leary, S.",CHI,1,9,9,9,0,2,25
"Batista, D.",COL,9,105,11.7,46,0,2,25
"Lim, W.",COL,6,103,17.2,39,0,2,25
"Jenkins, L.",COL,4,37,9.2,17,0,2,25
"Sauce, E.",COL,4,37,9.2,14,0,2,25
"Williams, D.",COL,2,27,13.5,22,0,2,25
"Gilbert, R.",COL,1,3,3,3,0,2,25
