Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Tkachuk, J.",ARI,1,5,3,0
"Tuck, J.",ARI,1,15,1,1
"Davis, A.",ARI,1,5,0,0
"Pest, T.",ARI,0,0,6,0
"Thomas, A.",ARI,0,0,4,0
"Worthy, G.",ARI,0,0,3,0
"Zoidberg, S.",ARI,0,0,2,0
"Timlin, S.",ARI,0,0,1,1
"Mackworthy, R.",ARI,0,0,1,0
"MacManus, C.",ARI,0,0,1,0
"Piper, W.",BAL,1,5,1,0
"Boom, J.",BAL,1,15,0,0
"Metas, B.",BAL,1,5,0,0
"Reyes, R.",BAL,1,15,0,0
"Sanderson, J.",BAL,1,5,0,0
"Blocksdale, A.",BAL,0,0,5,0
"Lee, B.",BAL,0,0,2,0
"Farlane, D.",BAL,0,0,1,1
"Pancake, P.",BAL,0,0,1,1
"Koch, D.",BAL,0,0,0,1
"Stone, W.",BAL,0,0,0,1
