,Q,Score Type,Time Remaining,Play,SJS,NO
1,1,TD,8:56,Darren Smallwood 4 yd run. (Peg Leg kick),0,7
2,1,TD,8:09,William H. (R) Harrison 25 yd interception return. (Peg Leg kick),0,14
3,1,FG,2:40,20 yd FG by Peg Leg,0,17
4,1,TD,0:50,Brian Mills 45 yd interception return. (Peg Leg kick),0,24
6,2,FG,2:51,44 yd FG by Iyah Blewitt,3,24
7,2,FG,0:19,34 yd FG by Peg Leg,3,27
9,3,TD,4:15,Darren Smallwood 2 yd run. (Peg Leg kick),3,34
10,3,FG,1:55,28 yd FG by Iyah Blewitt,6,34
12,4,FG,13:24,46 yd FG by Peg Leg,6,37
13,4,TD,3:40,Charlie Law 9 yd pass from Borkus Maximus III. (Peg Leg kick),6,44
14,4,TD,0:08,Darren Smallwood 5 yd run. (Peg Leg kick),6,51
