Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Tweed, B.",COL,1,5,2,0,8,3
"Austin, S.",COL,1,5,0,0,8,3
"Sandoval, A.",COL,0,0,5,1,8,3
"Longshaw, B.",COL,0,0,5,0,8,3
"Rodriguez, R.",COL,0,0,5,0,8,3
"Rodriguez, B.",COL,0,0,3,1,8,3
"Finkenlarkin, S.",COL,0,0,2,0,8,3
"Joyce, S.",COL,0,0,2,0,8,3
"Newman, M.",COL,0,0,1,0,8,3
"Hendrix, M.",PHI,1,1,7,0,8,3
"Walters, S.",PHI,1,5,2,2,8,3
"Hackett, A.",PHI,1,5,0,0,8,3
"Ramrio, M.",PHI,1,5,0,0,8,3
"Rocket, J.",PHI,1,10,0,0,8,3
"Bennett, A.",PHI,0,0,2,0,8,3
"Boyd, M.",PHI,0,0,2,0,8,3
"DiMirio, P.",PHI,0,0,2,0,8,3
"O'Connell, K.",PHI,0,0,1,1,8,3
"Milan, C.",PHI,0,0,0,1,8,3
