,Q,Score Type,Time Remaining,Play,PHI,COL
1,1,TD,10:01,Damien Kroetch 18 yd pass from Clifford Rove. (Stephen Harris kick),7,0
2,1,TD,6:55,Paul DiMirio 18 yd pass from Clifford Rove. (Stephen Harris kick),14,0
3,1,FG,3:29,34 yd FG by Stephen Harris,17,0
5,2,FG,12:34,45 yd FG by Bojo Kicksit,17,3
6,2,FG,9:14,45 yd FG by Stephen Harris,20,3
7,2,FG,1:26,26 yd FG by Stephen Harris,23,3
9,3,FG,11:34,43 yd FG by Bojo Kicksit,23,6
10,3,TD,8:28,Paul DiMirio 7 yd pass from Clifford Rove. (Stephen Harris kick),30,6
11,3,TD,1:54,Damien Kroetch 13 yd pass from Clifford Rove. (Stephen Harris kick),37,6
13,4,TD,10:40,Michael Newman 1 yd run. (Bojo Kicksit kick),37,13
14,4,FG,3:12,30 yd FG by Stephen Harris,40,13
15,4,TD,0:40,Kendrick Hendrix 36 yd pass from Nicholas Pierno. (Bojo Kicksit kick),40,20
