,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,FG,10:08,29 yd FG by Bradley Madlad,0,3
2,1,TD,5:00,Bradley Westfield 12 yd pass from Mike Boss. (Bradley Madlad kick),0,10
3,1,FG,1:55,32 yd FG by Bradley Madlad,0,13
5,2,TD,6:34,John Wachter 6 yd pass from King Bronko. (Dean Jackson kick),7,13
6,2,FG,3:08,45 yd FG by Dean Jackson,10,13
7,2,FG,0:09,42 yd FG by Bradley Madlad,10,16
9,3,TD,12:29,Jordan Yates 19 yd pass from Mike Boss. (Bradley Madlad kick),10,23
10,3,TD,8:25,Tegan Atwell 13 yd pass from Mike Boss. (Bradley Madlad kick),10,30
11,3,TD,3:10,Bradley Westfield 2 yd pass from Mike Boss. (Bradley Madlad kick),10,37
13,4,TD,12:14,Erlich Burnsman 5 yd run. (Bradley Madlad kick),10,44
14,4,FG,6:18,39 yd FG by Bradley Madlad,10,47
