Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Yates, J.",OCO,3,25,2,0,1,8
"Phelps, R.",OCO,1,5,0,0,1,8
"Wesson, D.",OCO,0,0,7,0,1,8
"Remington, J.",OCO,0,0,6,0,1,8
"Ruger, W.",OCO,0,0,4,1,1,8
"Savage, B.",OCO,0,0,4,0,1,8
"Burnsman, E.",OCO,0,0,1,1,1,8
"Smith, W.",OCO,0,0,1,0,1,8
"Mackworthy, R.",AZ,2,18,0,1,1,8
"Robotman, D.",AZ,1,5,1,0,1,8
"Waiters, A.",AZ,1,5,0,0,1,8
"Robotman, C.",AZ,0,0,5,0,1,8
"Robotman, E.",AZ,0,0,2,1,1,8
"Crindy, B.",AZ,0,0,2,0,1,8
"Robotman, A.",AZ,0,0,2,0,1,8
"Robotman, B.",AZ,0,0,1,0,1,8
