,Q,Score Type,Time Remaining,Play,AZ,BAL
1,1,FG,9:13,29 yd FG by ForThe Brand,0,3
2,1,FG,5:27,32 yd FG by Alex Frost,3,3
4,2,TD,11:41,Ahri Espeeyeeseetee 8 yd pass from Corvo Havran. (ForThe Brand kick),3,10
5,2,FG,7:43,35 yd FG by Alex Frost,6,10
6,2,TD,2:41,Brock Landers 4 yd pass from Andrew Reese. (Alex Frost kick),13,10
8,3,FG,8:51,33 yd FG by ForThe Brand,13,13
9,3,TD,6:10,Ludicolo Bigby 4 yd run. (ForThe Brand kick),13,20
10,3,TD,3:58,Ludicolo Bigby 9 yd pass from Corvo Havran. (ForThe Brand kick),13,27
11,3,SF,2:34,Ludicolo Bigby tackled for a safety.,15,27
13,4,TD,11:26,Kazimir Oles 54 yd pass from Andrew Reese. (Alex Frost kick),22,27
14,4,TD,7:11,Ludicolo Bigby 9 yd pass from Corvo Havran. (ForThe Brand XP no good),22,33
15,4,TD,1:20,Arbin Asipi III 8 yd interception return. (ForThe Brand kick),22,40
