,Q,Score Type,Time Remaining,Play,NO,AUS
1,1,TD,1:49,Forrest Gump 4 yd run. (Herbert Prohaska kick),7,0
2,1,TD,0:07,Forrest Gump 45 yd punt return. (Herbert Prohaska kick),14,0
4,2,TD,10:03,Austin McCormick 23 yd pass from Stan Francisco. (Herbert Prohaska kick),21,0
5,2,TD,6:33,Net Gaines 6 yd pass from Easton Cole. (Alfredo Crisco XP no good),21,6
6,2,TD,3:23,Marcella Toriki 10 yd run. (Herbert Prohaska kick),28,6
7,2,FG,0:51,41 yd FG by Alfredo Crisco,28,9
9,3,TD,11:40,Jed Podolak 2 yd pass from Stan Francisco. (Herbert Prohaska kick),35,9
10,3,TD,5:36,Marcella Toriki 1 yd run. (Herbert Prohaska kick),42,9
11,3,FG,3:31,45 yd FG by Alfredo Crisco,42,12
13,4,FG,11:51,33 yd FG by Alfredo Crisco,42,15
14,4,TD,8:01,Bona'beri Jones 10 yd pass from Stan Francisco. (Herbert Prohaska kick),49,15
15,4,TD,0:00,Imma Blockit 6 yd pass from Easton Cole. (Alfredo Crisco kick),49,22
