Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Bagwell, N.",PHI,1,4,0,0
"Tyler, J.",PHI,0,0,7,0
"Filmore, M.",PHI,0,0,6,0
"Arthur, C.",PHI,0,0,4,1
"Hayes, R.",PHI,0,0,3,0
"Van Buren, M.",PHI,0,0,3,0
"DiMirio, P.",PHI,0,0,2,0
"Kroetch, D.",PHI,0,0,1,0
"O'Connell, K.",PHI,0,0,1,0
"Tacktheritrix, J.",SJS,2,20,2,1
"Newman, X.",SJS,2,20,0,0
"Chambers III, C.",SJS,1,15,0,0
"Okonkwo, C.",SJS,1,5,0,0
"McKoutchie, M.",SJS,0,0,4,1
"Probincrux III, D.",SJS,0,0,4,1
"Bottles, B.",SJS,0,0,3,0
"Rucker, F.",SJS,0,0,3,0
"Diaz, D.",SJS,0,0,2,1
"Jahelpme, H.",SJS,0,0,2,0
"Smallwood, D.",SJS,0,0,0,1
