,Q,Score Type,Time Remaining,Play,SJS,PHI
1,1,FG,2:48,47 yd FG by Stephen Harris,0,3
3,2,TD,13:45,Fox North 16 yd pass from Tyler Oles. (Stephen Harris kick),0,10
4,2,FG,10:18,45 yd FG by Iyah Blewitt,3,10
5,2,TD,5:54,Josh Garden 3 yd pass from Tyler Oles. (Stephen Harris kick),3,17
6,2,FG,1:39,23 yd FG by Iyah Blewitt,6,17
7,2,TD,0:33,Vikian Marmeladov 22 yd interception return. (Stephen Harris kick),6,24
9,3,FG,10:37,19 yd FG by Stephen Harris,6,27
10,3,FG,5:16,40 yd FG by Stephen Harris,6,30
11,3,FG,2:25,31 yd FG by Stephen Harris,6,33
13,4,FG,13:16,26 yd FG by Iyah Blewitt,9,33
14,4,TD,5:34,Denzel Diaz 1 yd run. (Iyah Blewitt kick),16,33
15,4,TD,2:00,Kieran O'Connell 1 yd run. (Stephen Harris kick),16,40
16,4,TD,0:00,Mayran Jackson 17 yd pass from Chris Orosz. (Iyah Blewitt kick),23,40
