,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,3:30,Yulic Nagasawa 14 yd pass from Corvo Havran. (ForThe Brand kick),7,0
2,1,TD,1:01,Tommy Helanen 14 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),7,7
4,2,TD,12:39,Morgan Marshall 2 yd run. (Kicky Bobby (R) kick),7,14
5,2,FG,8:15,52 yd FG by Kicky Bobby (R),7,17
6,2,FG,5:04,42 yd FG by ForThe Brand,10,17
7,2,FG,0:29,45 yd FG by Kicky Bobby (R),10,20
8,2,TD,0:00,Danny Grithead 24 yd interception return. (Kicky Bobby (R) kick),10,27
10,3,TD,12:33,Nate Swift 24 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),10,34
11,3,TD,5:06,Yulic Nagasawa 7 yd pass from Corvo Havran. (ForThe Brand kick),17,34
12,3,FG,3:01,31 yd FG by ForThe Brand,20,34
14,4,TD,14:42,Morgan Marshall 4 yd run. (Kicky Bobby (R) kick),20,41
15,4,TD,3:56,Josh Parker 16 yd pass from Cooter Bigsby. (Kicky Bobby (R) kick),20,48
