Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Jones, B.",NO,2,15,0,0
"Brew, S.",NO,1,10,6,0
"Arianlacher, M.",NO,1,5,0,0
"Rubbe, G.",NO,0,0,10,0
"Ulysses, B.",NO,0,0,4,0
"Ofyourlove, S.",NO,0,0,3,0
"Toriki, M.",NO,0,0,3,0
"McCormick, A.",NO,0,0,2,0
"Room, W.",NO,0,0,2,0
"ABR, S.",NO,0,0,1,0
"Harrison, H.",OCO,1,10,3,0
"Armstrong, F.",OCO,1,15,0,0
"Banks II, D.",OCO,1,5,0,0
"Biggums, T.",OCO,1,15,0,0
"Grievous, L.",OCO,1,10,0,0
"Lovote, M.",OCO,1,5,0,0
"Oles, K.",OCO,1,15,0,0
"Storm, J.",OCO,1,15,0,0
"Pak, Y.",OCO,0,0,6,1
"Iridian, G.",OCO,0,0,3,0
"Johns, A.",OCO,0,0,2,0
"Wokkenfuss, G.",OCO,0,0,2,0
"Bigby, L.",OCO,0,0,1,0
"Blaze, J.",OCO,0,0,1,0
"Shady, S.",OCO,0,0,0,1
