,Q,Score Type,Time Remaining,Play,PHI,SJS
1,1,TD,8:11,Fox North 10 yd pass from Clifford Rove. (Stephen Harris kick),7,0
2,1,TD,3:46,Jordan Yates 2 yd run. (Iyah Blewitt kick),7,7
4,2,TD,14:45,Jordan Yates 3 yd run. (Iyah Blewitt kick),7,14
5,2,TD,12:49,Mayran Jackson 1 yd pass from Chris Orosz. (Iyah Blewitt kick),7,21
6,2,TD,8:06,Jordan Yates 1 yd run. (Iyah Blewitt kick),7,28
7,2,FG,1:46,18 yd FG by Iyah Blewitt,7,31
9,3,TD,8:45,Darren Smallwood 2 yd pass from Chris Orosz. (Iyah Blewitt kick),7,38
10,3,FG,5:03,23 yd FG by Iyah Blewitt,7,41
12,4,FG,7:40,38 yd FG by Iyah Blewitt,7,44
13,4,TD,1:38,Darren Smallwood 20 yd pass from Chris Orosz. (Iyah Blewitt kick),7,51
