Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Harrison, W.",NO,8,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"O'Sullivan, J.",NO,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Mills, B.",NO,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Oakes, B.",NO,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Askins, J.",NO,5,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Fyodorovich, V.",NO,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"King, G.",NO,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Bayley, B.",NO,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Rax, L.",NO,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Tuck, J.",NO,2,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Andres, J.",NO,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Grithead, D.",OCO,9,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kane, M.",OCO,9,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Brown, M.",OCO,7,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"King, J.",OCO,7,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Broxton, J.",OCO,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Winchester, A.",OCO,5,0,1,0/0,3,0,0,0,"[0, 0, 0]"
"Spector, M.",OCO,4,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Clegane, G.",OCO,2,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sierra, R.",OCO,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Wright Jr, G.",OCO,2,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Spaghetti, Y.",OCO,1,1,0,0/0,0,0,0,0,"[0, 0, 0]"
