Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Rax, L.",NO,1,15,0,0
"Smallwood, D.",NO,1,5,0,0
"Tuck, J.",NO,1,15,0,0
"Roll, J.",NO,0,0,7,0
"Ory, K.",NO,0,0,4,0
"Bolden, B.",NO,0,0,3,0
"Armstrong, L.",NO,0,0,2,0
"DiMirio, P.",NO,0,0,2,0
"Ruffins, K.",NO,0,0,2,0
"Savea, A.",NO,0,0,1,0
"Broxton, J.",OCO,2,30,0,0
"Clegane, G.",OCO,2,10,0,0
"Adams, R.",OCO,1,10,0,0
"Showbiz, G.",OCO,1,5,0,0
"Garden, J.",OCO,1,5,0,0
"Westfield, B.",OCO,1,5,0,0
"Wright Jr, G.",OCO,1,5,0,0
"Holding, H.",OCO,0,0,8,0
"Falsestart, F.",OCO,0,0,4,0
"Facemask, F.",OCO,0,0,3,1
"Zephyrous, S.",OCO,0,0,3,0
"Clipping, C.",OCO,0,0,3,0
"Tripping, T.",OCO,0,0,0,1
