Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"de Pengu, A.",COL,7,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Murder-Moose, M.",COL,7,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Drake, J.",COL,5,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Smoothie, E.",COL,5,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"FootballLeague, N.",COL,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Vuxta, R.",COL,4,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,5,26
"McFredbeard, R.",COL,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Ruschmann, A.",COL,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Edd, B.",COL,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Purchase, L.",COL,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Williams, D.",COL,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,5,26
"DeSoto, J.",PHI,9,1,0,1/0,1,0,0,0,0/0/0,0,0,0,0,5,26
"Fieri, D.",PHI,9,1,0,0/0,1,1,0,0,0/0/0,0,0,0,0,5,26
"Cross, M.",PHI,8,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Goodman, G.",PHI,8,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Haywood, H.",PHI,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Quin, A.",PHI,3,0,0,0/0,3,0,0,0,0/0/0,0,0,0,0,5,26
"Rose, T.",PHI,3,1,1,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Silva, B.",PHI,3,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Roes, S.",PHI,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Wrecks, T.",PHI,2,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Hoffman, J.",PHI,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
"Zelos, J.",PHI,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,5,26
