,Q,Score Type,Time Remaining,Play,OCO,AUS
1,1,FG,11:21,28 yd FG by Alex Dasistwirklichseinnachname,3,0
2,1,FG,7:00,32 yd FG by Alex Dasistwirklichseinnachname,6,0
3,1,FG,3:32,39 yd FG by Alfredo Crisco,6,3
4,1,TD,1:11,Mako Mendonca 2 yd run. (Alfredo Crisco kick),6,10
6,2,FG,11:55,31 yd FG by Alex Dasistwirklichseinnachname,9,10
8,3,FG,13:08,25 yd FG by Alex Dasistwirklichseinnachname,12,10
9,3,TD,9:58,Rod Tidwell 25 yd pass from Easton Cole. (Alfredo Crisco kick),12,17
10,3,TD,4:15,Apollo Reed 2 yd run. (Alex Dasistwirklichseinnachname kick),19,17
11,3,TD,1:35,Dan Schneider 43 yd interception return. (Alex Dasistwirklichseinnachname kick),26,17
13,4,TD,14:13,Adrian Pitcher 1 yd run. (Alex Dasistwirklichseinnachname kick),33,17
14,4,FG,8:44,30 yd FG by Alfredo Crisco,33,20
15,4,TD,4:22,Apollo Reed 10 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),40,20
