Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Espeeyeeseetee, A.",BAL,6,78,13,24,2,6,19
"Sauce, E.",BAL,6,34,5.7,8,0,6,19
"Maddox, E.",BAL,4,112,28,42,1,6,19
"L'Alto, V.",BAL,3,17,5.7,8,1,6,19
"Bigby, L.",BAL,2,23,11.5,12,0,6,19
"Pancakes, P.",BAL,1,7,7,7,0,6,19
"Quinn, A.",BAL,1,4,4,4,0,6,19
"Tidwell, R.",AUS,7,110,15.7,33,0,6,19
"Larson, P.",AUS,5,43,8.6,16,0,6,19
"Mendonca, M.",AUS,3,17,5.7,13,0,6,19
"Blockerman, F.",AUS,2,8,4,7,0,6,19
"Blockit, I.",AUS,2,2,1,1,0,6,19
"Anoa'i, D.",AUS,1,21,21,21,0,6,19
