,Q,Score Type,Time Remaining,Play,AZ,COL
1,1,TD,8:40,James Bishop 22 yd pass from Micycle McCormick. (Kyle Corbett kick),0,7
2,1,TD,1:56,Slim Shady 10 yd pass from Andrew Reese. (Dean Jackson kick),7,7
4,2,TD,14:19,Balthazar Crindy 11 yd pass from Micycle McCormick. (Kyle Corbett kick),7,14
5,2,FG,4:15,45 yd FG by Kyle Corbett,7,17
7,3,FG,12:59,45 yd FG by Kyle Corbett,7,20
8,3,TD,4:17,Slim Shady 2 yd run. (Dean Jackson kick),14,20
9,3,TD,0:28,Trey Willie 10 yd pass from Andrew Reese. (Dean Jackson kick),21,20
11,4,FG,9:00,37 yd FG by Kyle Corbett,21,23
12,4,TD,6:51,Hike Mughes 42 yd interception return. (Dean Jackson kick),28,23
13,4,TD,3:38,Balthazar Crindy 11 yd pass from Micycle McCormick. (2pt conversion good),28,31
