Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Cansino, D.",COL,2,10,1,0,10,14
"Bagwell, N.",COL,1,15,0,0,10,14
"Bishop, J.",COL,1,5,0,0,10,14
"McBrain, S.",COL,1,5,0,0,10,14
"Wrong, O.",COL,1,15,0,0,10,14
"Guard, L.",COL,0,0,6,0,10,14
"Guard, R.",COL,0,0,6,0,10,14
"Tackle, L.",COL,0,0,6,0,10,14
"Crindy, B.",COL,0,0,2,0,10,14
"Tackle, R.",COL,0,0,2,0,10,14
"Chipmunk, A.",COL,0,0,1,1,10,14
"Grau, M.",COL,0,0,1,0,10,14
"Nuno, F.",AZ,2,20,0,0,10,14
"Ebris, D.",AZ,1,5,0,0,10,14
"Moore, S.",AZ,1,5,0,0,10,14
"Mughes, H.",AZ,1,5,0,0,10,14
"Walker, C.",AZ,1,5,0,0,10,14
"Unk, J.",AZ,0,0,6,1,10,14
"Aste, W.",AZ,0,0,6,0,10,14
"Rash, T.",AZ,0,0,4,0,10,14
"Arbage, G.",AZ,0,0,3,0,10,14
"Shady, S.",AZ,0,0,3,0,10,14
"Goomba, M.",AZ,0,0,1,0,10,14
