,Q,Score Type,Time Remaining,Play,BAL,NO
1,1,FG,2:15,37 yd FG by Iyah Blewitt,0,3
3,2,TD,10:10,Charlie Law 5 yd pass from Borkus Maximus III. (Iyah Blewitt kick),0,10
4,2,TD,3:01,Budda Browning 23 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,10
5,2,FG,0:06,29 yd FG by Turk Turkleton,10,10
7,3,FG,10:54,55 yd FG by Turk Turkleton,13,10
8,3,TD,7:44,Mayran Jackson 37 yd pass from Borkus Maximus III. (Iyah Blewitt kick),13,17
9,3,TD,0:14,Dustin Evans 16 yd pass from Borkus Maximus III. (Iyah Blewitt kick),13,24
11,4,FG,7:08,48 yd FG by Turk Turkleton,16,24
12,4,TD,4:24,Darren Smallwood 1 yd run. (Iyah Blewitt kick),16,31
13,4,TD,2:36,Darren Smallwood 1 yd run. (Iyah Blewitt kick),16,38
