Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Pancake, P.",ARI,1,5,5,0
"Tuck, J.",ARI,1,10,1,0
"Blade, B.",ARI,1,5,0,0
"Evans, D.",ARI,1,10,0,0
"Harris Jr., F.",ARI,1,5,0,0
"Pest, T.",ARI,0,0,8,1
"Bombadil, T.",ARI,0,0,6,1
"Took, B.",ARI,0,0,5,2
"Treebeard, N.",ARI,0,0,3,1
"Law, C.",ARI,0,0,2,0
"Mackworthy, R.",ARI,0,0,2,0
"Ramathorn, A.",OCO,2,10,0,3
"Womack, C.",OCO,1,10,4,1
"Phelps, R.",OCO,1,5,0,0
"Tomlinson, A.",OCO,1,5,0,0
"Wright Jr, G.",OCO,1,5,0,0
"Roto, R.",OCO,0,0,10,2
"Farva, R.",OCO,0,0,5,1
"Foster, J.",OCO,0,0,3,1
"Burnsman, E.",OCO,0,0,2,0
"Jenkins, L.",OCO,0,0,2,0
"O'Sullivan, S.",OCO,0,0,1,0
