,Q,Score Type,Time Remaining,Play,PHI,BAL
1,1,FG,10:14,34 yd FG by Kulture Fulture,3,0
2,1,FG,5:29,40 yd FG by Alex Frost,3,3
4,2,TD,10:59,Yulic Nagasawa 9 yd pass from Childish Gambino. (Alex Frost kick),3,10
5,2,FG,3:39,29 yd FG by Kulture Fulture,6,10
6,2,TD,0:37,Jordan von Matt 56 yd pass from Adriana Falconi. (Kulture Fulture kick),13,10
8,3,FG,12:38,33 yd FG by Alex Frost,13,13
9,3,TD,9:59,Antonio Summer 4 yd run. (Alex Frost kick),13,20
10,3,FG,4:17,29 yd FG by Alex Frost,13,23
12,4,TD,9:04,Marquise Brown 12 yd run. (Kulture Fulture kick),20,23
13,4,FG,5:53,37 yd FG by Alex Frost,20,26
14,4,TD,0:13,Marquise Brown 48 yd pass from Adriana Falconi. (Kulture Fulture kick),27,26
