,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,FG,10:18,27 yd FG by Turk Turkleton,3,0
2,1,FG,1:29,18 yd FG by Stephen Harris,3,3
4,2,FG,8:07,30 yd FG by Turk Turkleton,6,3
5,2,TD,4:38,Trey Willie 56 yd pass from Avon Blocksdale. (Turk Turkleton kick),13,3
6,2,FG,0:24,37 yd FG by Stephen Harris,13,6
8,3,TD,10:01,Trey Willie 64 yd pass from Avon Blocksdale. (Turk Turkleton kick),20,6
9,3,TD,0:56,Fox North 3 yd pass from Clifford Rove. (Stephen Harris kick),20,13
11,4,TD,11:26,Damien Kroetch 3 yd run. (Stephen Harris kick),20,20
12,4,TD,7:05,Alexandre LeClair 40 yd pass from Avon Blocksdale. (Turk Turkleton kick),27,20
13,4,TD,1:13,Paul DiMirio 3 yd pass from Clifford Rove. (Stephen Harris kick),27,27
15,5,TD,8:37,Fox North 7 yd pass from Clifford Rove.,27,33
