,Q,Score Type,Time Remaining,Play,SJS,YKW
1,1,FG,11:55,34 yd FG by None Forfeit,0,3
2,1,TD,7:59,Bubba Nuck 1 yd run. (None Forfeit kick),0,10
3,1,FG,4:30,32 yd FG by Iyah Blewitt,3,10
5,2,FG,9:04,25 yd FG by Iyah Blewitt,6,10
6,2,FG,6:37,44 yd FG by Iyah Blewitt,9,10
7,2,TD,2:26,Darren Smallwood 3 yd run. (Iyah Blewitt kick),16,10
9,3,TD,9:40,Eric Kennedy 7 yd run. (None Forfeit kick),16,17
10,3,FG,0:53,41 yd FG by Iyah Blewitt,19,17
12,4,FG,12:22,39 yd FG by Iyah Blewitt,22,17
13,4,TD,6:02,Denzel Diaz 3 yd run. (Iyah Blewitt kick),29,17
