Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Twelve, S.",OCO,2,15,3,0
"Four, S.",OCO,1,5,4,1
"Spector, M.",OCO,1,5,0,0
"Five, S.",OCO,0,0,4,1
"Six, S.",OCO,0,0,3,1
"Thirteen, S.",OCO,0,0,2,0
"Adams, R.",OCO,0,0,1,1
"Blaze, J.",OCO,0,0,1,0
"Probincrux III, D.",SJS,2,10,7,1
"Brannigan, Z.",SJS,1,15,0,0
"Christ, J.",SJS,1,5,0,0
"Oles, K.",SJS,1,5,0,0
"Orosz, C.",SJS,1,15,0,0
"Poopsie, D.",SJS,1,5,0,0
"Jahelpme, H.",SJS,0,0,4,0
"McKoutchie, M.",SJS,0,0,3,0
"Tacktheritrix, J.",SJS,0,0,3,0
"Rucker, F.",SJS,0,0,2,0
"Bot, B.",SJS,0,0,1,0
"Canton, J.",SJS,0,0,1,0
