Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Broxton, J.",OCO,10,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Keita, T.",OCO,8,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Grithead, D.",OCO,7,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Rice, J.",OCO,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Brown, M.",OCO,6,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Spector, M.",OCO,6,3,0,0/0,0,0,0,0,"[0, 0, 0]"
"Skarsgard, T.",OCO,4,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Ginsberg, D.",OCO,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ramero, R.",OCO,3,1,0,0/0,0,0,0,0,"[0, 0, 0]"
"Salami, T.",OCO,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Schneider, D.",OCO,2,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Castle, S.",SJS,6,0,0,0/0,1,1,0,0,"[0, 0, 0]"
"Pennington, T.",SJS,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sackerman, F.",SJS,5,0,3,0/0,0,0,0,0,"[0, 0, 0]"
"Tuck, J.",SJS,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Troyski, X.",SJS,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Deringer, K.",SJS,3,0,1,0/0,1,0,0,0,"[1, 0, 0]"
"Pennington, C.",SJS,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Poopsie, D.",SJS,2,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Riposte, F.",SJS,2,1,1,0/0,0,0,0,0,"[0, 0, 0]"
"Staley, T.",SJS,2,0,1,0/0,2,1,0,0,"[0, 0, 0]"
"Tuck, J.",SJS,2,0,1,0/0,0,0,1,0,"[0, 0, 0]"
