,Q,Score Type,Time Remaining,Play,COL,YKW
1,1,TD,7:25,Devo (R) Cansino 4 yd run. (Peg Leg kick),7,0
2,1,TD,2:27,Antonio (R) Summer 5 yd pass from Brad Pennington. (None Forfeit kick),7,7
4,2,TD,13:19,Mark Grau 1 yd run. (Peg Leg XP no good),13,7
5,2,TD,9:42,Antonio (R) Summer 13 yd pass from Brad Pennington. (None Forfeit kick),13,14
6,2,TD,3:52,Howard Miller 43 yd pass from Micycle McCormick. (Peg Leg kick),20,14
7,2,FG,0:20,45 yd FG by Peg Leg,23,14
9,3,TD,9:36,Dwayne Aaron 9 yd pass from Micycle McCormick. (Peg Leg kick),30,14
10,3,TD,6:45,Thomas (R) Carrasco 4 yd run. (None Forfeit kick),30,21
11,3,FG,1:41,42 yd FG by Peg Leg,33,21
13,4,FG,9:38,18 yd FG by Peg Leg,36,21
