,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,11:48,Alexandre LeClair 9 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,0
2,1,TD,8:10,Bubba Nuck 4 yd pass from Mat Akselsen. (Joseph Lombardi kick),7,7
3,1,FG,3:40,29 yd FG by Turk Turkleton,10,7
4,1,TD,1:22,Eric Kennedy 3 yd pass from Mat Akselsen. (Joseph Lombardi kick),10,14
6,2,FG,13:05,35 yd FG by Turk Turkleton,13,14
7,2,TD,6:20,Eric Kennedy 36 yd pass from Mat Akselsen. (Joseph Lombardi kick),13,21
9,3,TD,6:27,Bailey Cook 10 yd pass from Mat Akselsen. (Joseph Lombardi kick),13,28
10,3,FG,2:57,22 yd FG by Turk Turkleton,16,28
12,4,FG,5:55,35 yd FG by Turk Turkleton,19,28
13,4,TD,0:36,Owen Taylor 5 yd run. (Turk Turkleton kick),26,28
