Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Maddox, E.",BAL,1,5,0,0
"Wojcik, B.",BAL,1,10,0,0
"Jeremy, R.",BAL,0,0,11,0
"Diggler, D.",BAL,0,0,9,0
"Grey, S.",BAL,0,0,5,0
"Steele, R.",BAL,0,0,3,0
"Harp, D.",BAL,0,0,2,0
"Star, L.",BAL,0,0,2,0
"L'Alto, V.",BAL,0,0,1,0
"Taylor, O.",BAL,0,0,1,0
"Saul, C.",PHI,2,20,0,0
"Brown, M.",PHI,1,15,1,0
"Falconi, A.",PHI,1,10,0,0
"Garnett, L.",PHI,1,5,0,0
"Hasselhoff, F.",PHI,1,5,0,0
"Weathers III, B.",PHI,1,15,0,0
"Van Buren, M.",PHI,0,0,8,0
"Tyler, J.",PHI,0,0,4,0
"Flores, R.",PHI,0,0,2,0
"Fillmore, M.",PHI,0,0,2,0
"Hayes, R.",PHI,0,0,1,1
"Arthur, C.",PHI,0,0,1,0
