,Q,Score Type,Time Remaining,Play,BAL,COL
1,1,FG,8:25,31 yd FG by Turk Turkleton,3,0
2,1,TD,0:46,Owen Taylor 4 yd run. (Turk Turkleton kick),10,0
4,2,TD,12:57,Dwayne Aaron 15 yd pass from Ryan Applehort. (Micycle McCormick kick),10,7
5,2,TD,8:49,Owen Taylor 9 yd run. (Turk Turkleton kick),17,7
6,2,TD,0:57,Dwayne Aaron 8 yd pass from Ryan Applehort. (Micycle McCormick kick),17,14
8,3,TD,11:27,Budda Browning 36 yd pass from Avon Blocksdale. (Turk Turkleton kick),24,14
9,3,TD,5:58,Alvin Chipmunk 4 yd pass from Ryan Applehort. (Micycle McCormick kick),24,21
10,3,FG,3:12,24 yd FG by Turk Turkleton,27,21
12,4,FG,7:18,37 yd FG by Turk Turkleton,30,21
13,4,TD,2:04,Fox North 1 yd pass from Ryan Applehort. (Micycle McCormick kick),30,28
