,Q,Score Type,Time Remaining,Play,SJS,OCO
1,1,FG,6:29,41 yd FG by Neo Donaldson,3,0
3,2,FG,12:58,44 yd FG by Neo Donaldson,6,0
4,2,SF,8:23,Joliet L. Christ tackled for a safety.,6,2
5,2,FG,0:03,52 yd FG by Alex Dasistwirklichseinnachname,6,5
7,3,TD,10:30,Apollo Reed 2 yd run. (Alex Dasistwirklichseinnachname kick),6,12
8,3,TD,7:46,Xavier Flash 47 yd pass from Joliet L. Christ. (Neo Donaldson kick),13,12
9,3,TD,1:45,None Sunnycursed 5 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),13,19
11,4,FG,12:25,21 yd FG by Neo Donaldson,16,19
12,4,TD,9:34,Hugh Mongo (R) 18 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),16,26
13,4,TD,3:29,Thjalfi Halvorsen 6 yd pass from Franklin Armstrong (R). (Alex Dasistwirklichseinnachname kick),16,33
