,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,FG,9:34,29 yd FG by Turk Turkleton,0,3
2,1,TD,5:57,Verso (R) L'Alto 12 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,10
3,1,TD,0:47,Alexandre LeClair 8 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,17
5,2,SF,14:32,Avon Blocksdale tackled for a safety.,2,17
7,3,TD,9:49,Owen Taylor 18 yd run. (Turk Turkleton kick),2,24
8,3,FG,3:58,35 yd FG by Micycle McCormick,5,24
10,4,TD,13:19,John Wachter 6 yd pass from Avon Blocksdale. (Turk Turkleton kick),5,31
11,4,TD,5:20,Verso (R) L'Alto 3 yd pass from Avon Blocksdale. (Turk Turkleton kick),5,38
12,4,TD,2:39,Trey Willie 25 yd pass from Avon Blocksdale. (Turk Turkleton kick),5,45
13,4,FG,0:26,32 yd FG by Turk Turkleton,5,48
