Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Angler, J.",SAR,9,110,12.2,28,0,13,24
"Witheblock, M.",SAR,6,127,21.2,58,0,13,24
"Gordon, R.",SAR,6,98,16.3,33,1,13,24
"Chan, R.",SAR,2,48,24,42,1,13,24
"Boyd, C.",SAR,2,13,6.5,7,0,13,24
"Back, R.",SAR,2,10,5,9,0,13,24
"Blocksdale Jr., A.",PHI,4,66,16.5,38,0,13,24
"Varga, N.",PHI,4,59,14.8,28,0,13,24
"Vuxta, R.",PHI,4,54,13.5,24,1,13,24
"Panda, F.",PHI,3,43,14.3,20,0,13,24
"Dotson, F.",PHI,3,14,4.7,6,0,13,24
"Torenson, S.",PHI,1,10,10,10,0,13,24
"Arrabiata, D.",PHI,1,4,4,4,0,13,24
