,Q,Score Type,Time Remaining,Play,COL,PHI
1,1,FG,7:44,39 yd FG by Jake Fencik (R),0,3
2,1,TD,5:46,William Lim 15 yd pass from Wolfie McDummy (C). (Silver Banana kick),7,3
4,2,FG,3:40,19 yd FG by Silver Banana,10,3
5,2,FG,0:19,38 yd FG by Silver Banana,13,3
7,3,TD,10:14,Fuzzy Dotson 1 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),13,10
8,3,TD,3:54,Earl Sauce 19 yd pass from Wolfie McDummy (C). (Silver Banana kick),20,10
10,4,TD,13:03,Randy Vuxta 1 yd pass from Brock Phoenix (C). (Jake Fencik (R) kick),20,17
11,4,FG,9:26,45 yd FG by Silver Banana,23,17
12,4,TD,5:17,Captain Rogers (R) 2 yd run. (Jake Fencik (R) kick),23,24
13,4,FG,1:58,37 yd FG by Silver Banana,26,24
