,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,TD,11:55,Josh Garden 25 yd pass from Clifford Rove. (Stephen Harris kick),7,0
2,1,TD,0:20,Josh Garden 16 yd pass from Clifford Rove. (Stephen Harris XP no good),13,0
4,2,TD,13:29,Eric Kennedy 18 yd pass from Mat Akselsen. (Joseph Lombardi kick),13,7
5,2,FG,2:44,28 yd FG by Joseph Lombardi,13,10
6,2,FG,0:19,56 yd FG by Stephen Harris,16,10
8,3,TD,10:22,Gosh Jarden 20 yd pass from Mat Akselsen. (Joseph Lombardi kick),16,17
9,3,TD,7:51,Fox North 8 yd pass from Clifford Rove. (Stephen Harris kick),23,17
10,3,FG,4:51,41 yd FG by Joseph Lombardi,23,20
11,3,FG,0:44,48 yd FG by Joseph Lombardi,23,23
13,4,FG,0:27,29 yd FG by Joseph Lombardi,23,26
