,teamID,ACC,AGI,ARM,Avg,END,G,HND,INT,KAc,KDi,L,Lg,Name,No,OVR,PA,PBl,PF,Player,Pos,RBl,S,SPE,STR,T,TCK,TD,Team,W,WPct,Yards
0,1,1,70,1,13.5,61,14,70,56,1,1,10,40,"West, D.",75,68,330,12,254,"West, D.",WR,12,1,80,30,0,20,4,BAL,4,0.28600000000000003,1010
1,1,15,61,15,4.9,70,14,55,53,1,1,10,11,"Novel, L.",7,67,330,25,254,"Novel, L.",RB,25,1,72,66,0,20,0,BAL,4,0.28600000000000003,34
2,1,1,72,1,15.0,69,14,75,53,1,1,10,47,"Christmas, C.",47,71,330,22,254,"Christmas, C.",WR,22,1,75,50,0,20,2,BAL,4,0.28600000000000003,705
3,1,1,50,1,4.6,65,14,70,55,1,1,10,9,"Piper, W.",16,64,330,35,254,"Piper, W.",TE,35,1,55,52,0,30,1,BAL,4,0.28600000000000003,73
4,1,15,70,15,6.1,66,14,61,51,1,1,10,16,"Robinson, M.",20,71,330,27,254,"Robinson, M.",RB,22,1,73,67,0,20,0,BAL,4,0.28600000000000003,122
5,1,1,60,1,11.0,65,14,72,52,1,1,10,28,"Lecavalier, R.",21,61,330,20,254,"Lecavalier, R.",WR,20,1,62,46,0,20,2,BAL,4,0.28600000000000003,230
6,1,1,50,1,6.1,65,14,74,60,1,1,10,16,"Tenzini, G.",67,65,330,30,254,"Tenzini, G.",TE,30,1,65,43,0,25,3,BAL,4,0.28600000000000003,407
7,2,3,77,3,16.8,63,14,70,50,3,3,6,47,"Garden, J.",70,72,225,12,256,"Garden, J.",WR,12,1,80,50,0,22,7,YKW,8,0.5710000000000001,1178
8,2,1,55,1,21.0,65,14,75,45,1,1,6,21,"Bennett, A.",1,61,225,20,256,"Bennett, A.",WR,20,1,65,45,0,20,0,YKW,8,0.5710000000000001,21
9,2,1,75,1,10.0,61,5,71,52,1,1,6,24,"North, F.",3,65,225,12,256,"North, F.",WR,12,1,71,30,0,20,0,YKW,8,0.5710000000000001,30
10,2,15,50,15,5.2,72,14,50,40,1,1,6,11,"Stats, J.",6,61,225,20,256,"Stats, J.",RB,25,1,70,70,0,20,2,YKW,8,0.5710000000000001,31
11,2,1,45,1,3.6,65,6,71,55,1,1,6,6,"Sanderson, J.",10,63,225,30,256,"Sanderson, J.",TE,30,1,56,52,0,25,0,YKW,8,0.5710000000000001,36
12,2,17,63,17,4.0,66,14,60,63,3,3,6,11,"Nuck, B.",14,69,225,24,256,"Nuck, B.",RB,22,1,80,51,0,22,1,YKW,8,0.5710000000000001,56
13,2,1,60,1,11.4,65,14,70,40,1,1,6,28,"Stephen, W.",5,64,225,20,256,"Stephen, W.",WR,20,1,72,45,0,20,0,YKW,8,0.5710000000000001,57
14,2,1,46,1,4.9,65,14,60,57,1,1,6,19,"Larsendorf, R.",26,58,225,50,256,"Larsendorf, R.",TE,50,1,50,50,0,30,0,YKW,8,0.5710000000000001,128
