,Q,Score Type,Time Remaining,Play,AUS,NO
1,1,TD,5:17,Mako Mendonca 1 yd run. (Alfredo Crisco kick),7,0
3,2,TD,14:15,Mako Mendonca 2 yd run. (Alfredo Crisco kick),14,0
4,2,FG,12:01,32 yd FG by Herbert Prohaska (R),14,3
5,2,TD,7:41,Peter Larson 5 yd pass from Easton Cole. (Alfredo Crisco kick),21,3
6,2,FG,4:23,34 yd FG by Herbert Prohaska (R),21,6
7,2,FG,0:24,33 yd FG by Herbert Prohaska (R),21,9
9,3,TD,1:13,Vinny Valentine 17 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),21,16
10,3,TD,0:00,Bender B. Rodriguez 8 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),21,23
12,4,TD,10:11,Vinny Valentine 10 yd pass from Stan Francisco. (Herbert Prohaska (R) kick),21,30
13,4,FG,5:23,43 yd FG by Alfredo Crisco,24,30
