Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Eriksen, W.",PHI,7,0,0,0/1,1,0,0,0,0/0/0,1,0,0,0,6,25
"Zelos, J.",PHI,6,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,6,25
"Cross, M.",PHI,5,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,6,25
"D'Attoria V, R.",PHI,5,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,6,25
"Om, T.",PHI,4,2,1,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Suzuki, S.",PHI,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Wrecks, T.",PHI,4,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Booker, B.",PHI,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Haywood, H.",PHI,3,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"DeSoto, J.",PHI,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Gronlie, T.",PHI,2,0,0,1/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Valdyr, M.",YKW,10,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Thomaslacher, B.",YKW,9,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,6,25
"Quaid, D.",YKW,8,1,2,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Foster, D.",YKW,6,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,6,25
"Hellzapoppin, J.",YKW,6,0,1,0/0,1,0,0,0,0/0/0,0,0,0,0,6,25
"Alexander, N.",YKW,5,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Leonard, M.",YKW,4,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,6,25
"Dookmarriot, L.",YKW,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Thebaw, S.",YKW,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Cho, J.",YKW,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
"Money, P.",YKW,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,6,25
