Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Elephant, M.",PHI,1,5,3,0,6,25
"Gronlie, T.",PHI,1,5,0,0,6,25
"Hayes, R.",PHI,0,0,7,0,6,25
"Fillmore, M.",PHI,0,0,3,0,6,25
"Van Buren, M.",PHI,0,0,2,1,6,25
"Arrabiata, D.",PHI,0,0,1,0,6,25
"Blocksdale Jr., A.",PHI,0,0,1,0,6,25
"Tremblay, S.",PHI,0,0,1,0,6,25
"Torenson, S.",PHI,0,0,0,2,6,25
"Ones, B.",YKW,1,5,2,0,6,25
"Dookmarriot, L.",YKW,1,10,0,0,6,25
"Kross, C.",YKW,1,5,0,0,6,25
"Virtanen, M.",YKW,0,0,7,0,6,25
"Pooky, S.",YKW,0,0,4,0,6,25
"Rechs, Z.",YKW,0,0,3,0,6,25
"Hanyadi, M.",YKW,0,0,2,1,6,25
"Pancakes, B.",YKW,0,0,2,0,6,25
"Amper, T.",YKW,0,0,1,0,6,25
"Skyline, A.",YKW,0,0,1,0,6,25
