,Q,Score Type,Time Remaining,Play,AZ,SJS
1,1,FG,11:31,35 yd FG by Spencer Lawes,3,0
2,1,TD,9:39,Slim Shady 1 yd run. (Spencer Lawes kick),10,0
3,1,FG,5:31,19 yd FG by Neo Donaldson,10,3
4,1,TD,2:10,Brock Landers 30 yd pass from Andrew Reese. (Spencer Lawes kick),17,3
5,1,TD,0:00,Vinny Valentine 12 yd pass from Andrew Reese. (Spencer Lawes kick),24,3
7,2,FG,12:33,28 yd FG by Neo Donaldson,24,6
8,2,FG,5:22,34 yd FG by Neo Donaldson,24,9
9,2,FG,0:04,52 yd FG by Neo Donaldson,24,12
11,3,TD,7:37,Slim Shady 11 yd pass from Andrew Reese. (Spencer Lawes kick),31,12
12,3,TD,3:27,Ty Justice 8 yd pass from Joliet L. Christ. (Neo Donaldson kick),31,19
14,4,FG,11:17,35 yd FG by Spencer Lawes,34,19
15,4,FG,7:59,34 yd FG by Neo Donaldson,34,22
