,Q,Score Type,Time Remaining,Play,COL,NO
1,1,TD,3:44,Blessed Storm 5 yd pass from Borkus Maximus III. (Beat Meoff kick),0,7
2,1,FG,0:37,43 yd FG by Beat Meoff,0,10
4,2,FG,11:19,38 yd FG by Peg Leg,3,10
5,2,TD,6:47,Blessed Storm 13 yd pass from Borkus Maximus III. (Beat Meoff kick),3,17
6,2,FG,1:50,44 yd FG by Beat Meoff,3,20
8,3,TD,10:50,Borkus Maximus III 7 yd run. (Beat Meoff kick),3,27
9,3,FG,5:55,41 yd FG by Peg Leg,6,27
11,4,TD,11:19,Borro Gore 5 yd pass from Borkus Maximus III. (Beat Meoff kick),6,34
12,4,FG,8:36,27 yd FG by Peg Leg,9,34
13,4,TD,5:53,Borro Gore 4 yd run. (Beat Meoff kick),9,41
