Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"A'Moderateamount, L.",AUS,1,1,1,0,2,17
"Owens, A.",AUS,1,5,1,0,2,17
"A'Barelyanything, L.",AUS,0,0,10,0,2,17
"Beaver-Dantes, E.",AUS,0,0,7,0,2,17
"A'Little, L.",AUS,0,0,5,0,2,17
"A'Ton, L.",AUS,0,0,4,1,2,17
"Mendonca, M.",AUS,0,0,2,2,2,17
"Larson, P.",AUS,0,0,1,0,2,17
"Woodham, A.",AZ,2,13,0,0,2,17
"Rash, T.",AZ,1,10,4,0,2,17
"Zephyrous, S.",AZ,1,5,3,1,2,17
"Unk, J.",AZ,0,0,6,0,2,17
"Arbage, G.",AZ,0,0,4,0,2,17
"Aste, W.",AZ,0,0,4,0,2,17
"Ebris, D.",AZ,0,0,4,0,2,17
"Irving, J.",AZ,0,0,4,0,2,17
"Shady, S.",AZ,0,0,2,0,2,17
"Murphy, J.",AZ,0,0,1,0,2,17
