,Q,Score Type,Time Remaining,Play,PHI,NO
1,1,TD,12:27,Josh Garden 75 yd punt return. (Beat (R) Meoff kick),7,0
2,1,TD,6:31,Darren Smallwood 1 yd run. (Iyah Blewitt kick),7,7
3,1,FG,1:24,38 yd FG by Beat (R) Meoff,10,7
5,2,FG,12:19,34 yd FG by Iyah Blewitt,10,10
6,2,TD,8:51,Darren Smallwood 9 yd run. (Iyah Blewitt kick),10,17
7,2,FG,4:12,32 yd FG by Iyah Blewitt,10,20
8,2,FG,0:06,57 yd FG by Iyah Blewitt,10,23
10,3,TD,10:51,Darren Smallwood 2 yd run. (Iyah Blewitt kick),10,30
11,3,TD,6:31,Darren Smallwood 1 yd run. (Iyah Blewitt kick),10,37
12,3,TD,0:57,Charlie Law 10 yd pass from Borkus Maximus III. (Iyah Blewitt kick),10,44
14,4,TD,5:19,Dustin Evans 10 yd pass from Borkus Maximus III. (Iyah Blewitt kick),10,51
15,4,TD,2:09,Paul DiMirio 3 yd pass from Borkus Maximus III. (Iyah Blewitt kick),10,58
