Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Hardagain, W.",YKW,1,15,0,0
"Rchonsucks, A.",YKW,0,0,3,1
"Amper, T.",YKW,0,0,3,0
"Forty-Two, L.",YKW,0,0,3,0
"Hanyadi, M.",YKW,0,0,3,0
"Pooky, S.",YKW,0,0,3,0
"Ones, B.",YKW,0,0,2,0
"Cross, M.",PHI,1,15,0,0
"Gimmy, I.",PHI,1,3,0,0
"McKinnie, L.",PHI,1,15,0,0
"Suzuki, S.",PHI,1,15,0,0
"Vuxta, R.",PHI,1,10,0,0
"Fillmore, M.",PHI,0,0,6,1
"Tyler, J.",PHI,0,0,5,0
"Torenson, S.",PHI,0,0,3,0
"Van Buren, M.",PHI,0,0,3,0
"Arthur, C.",PHI,0,0,2,0
"Hayes, R.",PHI,0,0,2,0
"Blocksdale Jr., A.",PHI,0,0,1,0
"Dotson, F.",PHI,0,0,1,0
