,Q,Score Type,Time Remaining,Play,AZ,OCO
1,1,TD,9:39,Balthazar Crindy 1 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),7,0
2,1,TD,6:04,Jaylon Broxton 70 yd punt return. (Adam (R) Anderson kick),7,7
3,1,FG,1:39,38 yd FG by Adam (R) Anderson,7,10
5,2,TD,5:13,Seer Zephyrous 1 yd run. (Adam (R) Anderson kick),7,17
6,2,FG,1:30,40 yd FG by Dean Jackson,10,17
7,2,FG,0:22,36 yd FG by Adam (R) Anderson,10,20
9,3,SF,3:57,Kevin Fitzpatrick tackled for a safety.,10,22
10,3,FG,0:36,29 yd FG by Adam (R) Anderson,10,25
12,4,FG,11:49,21 yd FG by Adam (R) Anderson,10,28
13,4,FG,7:37,19 yd FG by Dean Jackson,13,28
14,4,TD,3:05,Reg Mackworthy 6 yd run. (Dean Jackson kick),20,28
